최저 기온,평균 풍속,최소 상대 습도,lablels
0.5,1.4,13,1
-1.3,2.1,25,1
-1.8,1.2,13,1
2.5,1,15,1
0.1,2.3,15,1
3.5,1.3,37,1
2.1,2.1,11,1
2.4,0.8,20,1
0.6,1,29,1
-3,2.8,26,1
2.4,3.3,31,1
-0.6,4.1,33,1
3.9,2.3,27,1
0.8,1.4,21,1
-0.3,2.7,66,1
0.3,1.9,19,1
-0.2,1.3,18,1
-1.7,0.5,16,1
0.5,1.3,19,1
0.2,1.4,20,1
0.1,2,15,1
3.8,4.9,49,1
2,4.6,41,1
1.8,2.8,12,1
-1.3,2.5,26,1
1.3,0.7,26,1
0.6,1.6,16,1
2.6,0.7,45,1
0.8,1.9,57,1
1.7,1.2,25,1
2.9,1,17,1
1.2,1.2,26,1
0.5,1.2,19,1
3.9,0.9,34,1
1,1.7,19,1
13.6,1.8,22,0
19.6,1,53,0
24.3,1.3,51,0
21.7,1.1,39,0
18.5,4.3,54,0
9,2,21,0
8.6,1.6,16,0
11,4,53,0
16.2,2.4,66,0
15.8,2.6,27,0
14.1,2.6,18,0
13.1,1.9,25,0
13.8,1.8,13,0
15,2,13,0
15,1.5,55,0
12.3,1.1,36,0
15,1.2,31,0
13.2,1,38,0
16.2,1.1,45,0
16.9,1.2,46,0
14.3,1.2,47,0
14.4,0.9,84,0
12.3,1.5,31,0
10.1,1.1,32,0
12.5,1.1,41,0
13.7,1.2,36,0
14.4,1.4,48,0
11.4,2.8,26,0
7.4,2.6,19,0
7.2,1.3,27,0
7.3,1.8,19,0
6,1.3,21,0
8,0.9,41,0
9.1,1,35,0
25,1.4,50,0
20.8,1.1,62,0
16.6,1,67,0
16.6,0.7,49,0
19.2,0.6,58,0
15.6,0.5,74,0
18.7,0.6,62,0
17.7,1,45,0
21.2,2.4,75,0
18.5,0.9,53,0
20.3,0.7,81,0
19.8,1.4,43,0
17.3,1.1,69,0
17.4,1.2,53,0
18.8,0.6,57,0
20.1,2.2,74,0
19.7,2.3,65,0
18.8,1.5,55,0
20.3,0.7,44,0
18.4,0.9,49,0
19.6,0.7,55,0
18.4,1.9,81,0
18.3,1.3,52,0
17.9,1.2,31,0
14.3,0.7,33,0
13.8,0.8,23,0
13.9,0.9,19,0
14.3,1.1,35,0
15.3,1,42,0
16.2,1,33,0
15.1,0.7,34,0
17.9,0.8,35,0
14.5,0.8,31,0
14,1.6,46,0
13.8,2.1,69,0
12.5,2.1,34,0
10.5,2,30,0
11,2.2,21,0
10.6,1.2,32,0
11.3,1.6,38,0
11.6,1.1,25,0
13.1,1.5,31,0
14.5,1.4,35,0
14.8,1.2,31,0
14.8,1.6,31,0
17,2,50,0
13.6,2.3,63,0
10,2.7,39,0
7.3,2.2,31,0
9.1,1.9,27,0
9,2.1,43,0
10.3,2,19,0
